School Name,Totals,Boys or Girls,Host Regionals,Host Sectionals,Host Semi-State,Longitude,Latitude
Evans. Harrison High Sch,1243,,,,,-87.48605700000002,37.97381
East Chicago Central High Sch,1236,,,,,-87.4853127,41.6403209
Logansport Comm High Sch,1235,,,,,-86.3314841,40.7493624
Mt. Vernon (Fortville) High School,1227,,,,,-85.84411,39.901374
Greenwood Community High Sch,1200,,,,,-86.1174631,39.6029045
Lowell Senior High School,1197,,,,,-87.39343500000001,41.2914076
Evans. Central High School,1185,,,,,-86.0157925,39.67694669999999
Indpls. Cathedral HS,1184,,,,,-86.0807787,39.8520411
Roncalli High School,1184,,,,,-86.1068634,39.6901287
DeKalb High School,1170,,,,,-85.04109559999999,41.4064699
Shelbyville Sr High Sch,1156,,,,,-85.789248,39.5062308
Plymouth High School,1147,,,,,-86.3027616,41.3473756
S.B. Clay High School,1143,,,,,-86.2383412,41.7326017
New Palestine High School,1119,,,,,-85.89054999999999,39.7186612
Highland High School,1117,,,,,-87.4592643,41.5466717
Connersville Sr High School,1111,,,,,-85.160944,39.636354
Jasper High School,1093,,,,,-86.95074,38.4027107
Kankakee Valley High School,1083,,,,,-87.1201533,41.1856481
F.W. Bishop Dwenger HS,1075,,,,,-85.1254925,41.1318002
Jay County High School,1060,,,,,-85.0237727,40.4297071
Columbia City High School,1056,,,,,-85.4841256,41.16285610000001
Marion High School,1053,,,,,-85.6686289,40.5387549
Gary West Side Leadership Acad.,1046,,,,,-87.4078595,41.59385
Northview High School,1024,,,,,-87.16618179999999,39.5159437
New Castle Chrysler High Sch,1023,,,,,-85.3765877,39.9124869
New Haven High School,996,,,,,-85.0121387,41.0652957
New Prairie High School,993,,,,,-86.563983,41.683073
Lebanon Senior High School,976,,,,,-86.4624662,40.058319
Madison Consolidated High Sch,966,,,,,-85.4025678,38.7733285
Beech Grove Sr High School,949,,,,,-86.0761321,39.7114249
Wawasee High School,945,,,,,-85.75673119999999,41.4179325
Silver Creek High School,909,,,,,-85.7552273,38.4077876
S.B. Washington High School,906,,,,,-86.31422189999999,41.67496999999999
Hammond Gavit Mdl/High Sch,904,,,,,-87.4875017,41.5762616
Boonville High School,903,,,,,-87.2800146,38.0528013
S.B. Saint Joseph's HS,896,,,,,-86.2382062,41.6812857
NorthWood High School,883,,,,,-85.9993368,41.4616274
Angola High School,876,,,,,-84.971477,41.6317985
Leo Junior/Senior High School,872,,,,,-85.017715,41.2198405
Delta High School,871,,,,,-85.34807239999999,40.278276
South Dearborn High School,868,,,,,-84.9285637,39.06395000000001
Frankfort Senior High School,861,,,,,-86.485168,40.281529
Western High School,855,,,,,-86.24293879999999,40.437402
Mississinewa High School,845,,,,,-85.61341929999999,40.4966375
Franklin County High,836,,,,,-84.998764,39.428562
Herron High School,827,,,,,-86.1552952,39.7887861
Owen Valley Community HS,813,,,,,-86.78154699999999,39.288654
Culver Academies,812,,,,,-86.4047044,41.2250559
Edgewood High School,811,,,,,-86.634036,39.23586
Hammond High School,810,,,,,-87.509568,41.60522599999999
Evansville Bosse High School,802,,,,,-87.540014,37.963822
Yorktown High School,801,,,,,-85.493758,40.183124
Griffith Senior High School,800,,,,,-87.436207,41.5327164
Brebeuf Jesuit Preparatory School,794,,,,,-86.2102522,39.9106145
Scottsburg Senior High School,794,,,,,-85.7812543,38.6806275
Danville Community High Sch,791,,,,,-86.5401579,39.7569997
F.W. Concordia Lutheran HS,781,,,,,-85.117668,41.109845
Twin Lakes Senior High School,773,,,,,-86.7701417,40.74207579999999
Norwell High School,769,,,,,-85.2020587,40.8283587
Hammond Clark Md/HS,760,,,,,-87.50683839999999,41.6782559
Guerin Catholic HS,758,,,,,-86.08685,40.010302
Greensburg Community High Sch,750,,,,,-85.4684102,39.3409772
Indpls. Crispus Attucks Medical Magnet,745,,,,,-86.1691992,39.7828316
