School Name,Totals,Participation,Host Sectionals,Host Regionals,Host Semi-State,Longitude,Latitude
North Daviess Jr-Sr High Sch,306,1,0,0,0,-87.0619192,38.8474347
Northfield Jr-Sr High School,304,1,0,0,0,-85.7957822,40.8553665
Riverton Parke Jr-Sr High School,304,1,0,0,0,-87.3220879,39.697741
Fremont High School,303,1,0,0,0,-84.9401146,41.7296487
South Central (Union Mills) Jr-Sr HS,303,1,0,0,0,-86.8149211,41.4653275
Westville High School,296,1,0,0,0,-86.8944443,41.5416489
Southwood Jr-Sr High School,295,1,0,0,0,-85.7812408,40.7401174
Lafayette Central Catholic Jr-Sr HS,291,1,0,0,0,-86.8870068,40.3927809
University High School of Indiana,289,1,0,0,0,-86.2122125,39.9542639
Hammond Acad. Of Sci. & Tech.,287,1,0,0,0,-87.5235321,41.6179983
Tri Junior-Senior High School,285,1,0,0,0,-85.3510865,39.832935
North Central (Farmersburg) HS,283,1,0,0,0,-87.3904635,39.2249612
Union City Community High Sch,280,1,0,0,0,-84.8148529,40.2041946
West Central Senior High School,280,1,0,0,0,-86.890402,41.028479
Daleville Jr/Sr High School,279,1,0,0,0,-85.5546521,40.1184352
Loogootee Jr/Sr High School,278,1,0,0,0,-86.9212472,38.6779439
Indpls. Lighthouse Charter School,277,1,0,0,0,-86.0889651,39.743379
Wood Memorial High,277,1,0,0,0,-87.3519119,38.3309062
Kouts Middle/High School,275,1,0,0,0,-87.0219988,41.3128995
Pioneer Jr-Sr High School,275,1,0,0,0,-86.4942132,40.8609819
Wes-Del Middle/Senior High Sch,275,1,0,0,0,-85.4996181,40.2801027
Clinton Central Junior-Senior HS,274,1,0,0,0,-86.391188,40.297755
Marquette Catholic HS,273,1,0,0,0,-86.9027409,41.7109078
Tindley Accelerated Sch,273,1,0,0,0,-86.1145682,39.8297603
Tri Central Middle-High School,271,1,0,0,0,-86.0536605,40.3756544
Edinburgh Community High Sch,269,1,0,0,0,-85.9705208,39.3516005
Hauser Jr-Sr High School,268,1,0,0,0,-85.7700062,39.2926055
Northeast Dubois High School,268,1,0,0,0,-86.7964178,38.4509433
White River Valley Jr/Sr High Sch,268,1,0,0,0,-87.0466035,39.0352946
21st Century Charter Sch of Gary,266,1,0,0,0,-87.338817,41.6007206
Southern Wells Jr-Sr High Sch,266,1,0,0,0,-85.27987,40.6076036
Springs Valley Comm High Sch,266,1,0,0,0,-86.616972,38.5489731
Washington Twp Middle/High School,266,1,0,0,0,-86.9945285,41.4844935
North White Jr/Sr High School,265,1,0,0,0,-86.8756643,40.8675418
Jac-Cen-Del Jr-Sr High School,263,1,0,0,0,-85.2948003,39.1402889
S.B. Career Academy,263,1,0,0,0,-86.331558,41.7277848
Triton Jr-Sr High Sch,261,1,0,0,0,-86.1090019,41.3013485
Indpls. Metropolitan High Sch,258,1,0,0,0,-86.1917706,39.7736692
