School Name,Totals,Boys or Girls,Host Regionals,Host Sectionals,Host Semi-State,Longitude,Latitude
Triton Central High School,468,,,,,,
Cass Jr-Sr High School,466,,,,,,
Clarksville Senior High Sch,464,,,,,,
Centerville Sr High School,463,,,,,,
Gary Roosevelt Car & Tech Acad,458,,,,,,
Cascade Senior High School,457,,,,,,
Crawford County Jr-Sr HS,457,,,,,,
Indpls. George Washington Community,457,,,,,,
North Putnam Sr High Sch,456,,,,,,
Indpls. Scecina Memorial School,449,,,,,,
Bowman Leadership Academy,447,,,,,,
Elwood Community High School,447,,,,,,
Winchester Community High Sch,446,,,,,,
Union County High School,444,,,,,,
Bluffton High School,443,,,,,,
Shenandoah High School,442,,,,,,
North Newton Jr-Sr High Sch,440,,,,,,
River Forest Jr-Sr High School,439,,,,,,
Providence HS,437,,,,,,
Whiting High School,434,,,,,,
Delphi Community High School,430,,,,,,
Wabash High School,427,,,,,,
Eastern Hancock High Sch,425,,,,,,
Tell City Jr-Sr High School,421,,,,,,
Northeastern High School,419,,,,,,
Westview Jr-Sr High School,416,,,,,,
Prairie Heights Sr High Sch,415,,,,,,
Taylor High School,413,,,,,,
Milan High School,411,,,,,,
Heritage Christian,407,,,,,,
South Spencer High School,407,,,,,,
Switzerland Co Senior High Sch,404,,,,,,
Park Tudor School (9-12),403,,,,,,
Madison-Grant High School,401,,,,,,
North Knox High School,398,,,,,,
Forest Park Jr-Sr High Sch,397,,,,,,
Wapahani High School,396,,,,,,
Austin High School,394,,,,,,
Central Noble High School,393,,,,,,
Cloverdale High School,382,,,,,,
Knightstown High School,381,,,,,,
Lake Station Edison Jr-Sr HS,381,,,,,,
Perry Central Jr-Sr High Sch,379,,,,,,
Eastern Greene High School,377,,,,,,
Winamac Community High School,377,,,,,,
Adams Central High School,375,,,,,,
Seeger Memorial Jr-Sr HS,375,,,,,,
Eastside Junior-Senior High Sch,372,,,,,,
Indpls. Arlington Community HS,371,,,,,,
Hebron High School,370,,,,,,
Monroe Central Jr-Sr High Sch,370,,,,,,
F.W. Canterbury School,369,,,,,,
South Adams High School,369,,,,,,
North Judson-San Pierre High Sch,368,,,,,,
Churubusco Jr-Sr High School,367,,,,,,
Linton-Stockton High School,366,,,,,,
South Knox Middle-High School,366,,,,,,
LaVille Jr-Sr High School,363,,,,,,
South Putnam High School,363,,,,,,
Indpls. Shortridge Law & Public Policy,361,,,,,,
Signature School Inc,361,,,,,,
Southwestern (Hanover) Middle/Sr HS,359,,,,,,
Indpls. Howe Comm High School,357,,,,,,
South Ripley High School,354,,,,,,
Carroll (Flora) Jr-Sr High Sch,353,,,,,,
Fountain Central High School,350,,,,,,
Henryville Jr & Sr High Sch,349,,,,,,
Irvington Preparatory Academy,342,,,,,,
Hagerstown Jr-Sr High School,341,,,,,,
Covenant Christian (Indpls.) HS,334,,,,,,
Cambridge City Lincoln Sr High Sch,331,,,,,,
Clinton Prairie Jr-Sr HS,330,,,,,,
North Decatur Jr-Sr High Sch,329,,,,,,
Sheridan High School,329,,,,,,
North Miami Middle/High School,320,,,,,,
Rossville Senior High School,313,,,,,,
South Decatur Jr-Sr High Sch,313,,,,,,
Covington Community High Sch,309,,,,,,
Tecumseh Jr-Sr High Sch,309,,,,,,
North Daviess Jr-Sr High Sch,306,,,,,,
Northfield Jr-Sr High School,304,,,,,,
Riverton Parke Jr-Sr High School,304,,,,,,
Fremont High School,303,,,,,,
South Central (Union Mills) Jr-Sr HS,303,,,,,,
Westville High School,296,,,,,,
Southwood Jr-Sr High School,295,,,,,,
Lafayette Central Catholic Jr-Sr HS,291,,,,,,
University High School of Indiana,289,,,,,,
Hammond Acad. Of Sci. & Tech.,287,,,,,,
Tri Junior-Senior High School,285,,,,,,
North Central (Farmersburg) HS,283,,,,,,
Union City Community High Sch,280,,,,,,
West Central Senior High School,280,,,,,,
Daleville Jr/Sr High School,279,,,,,,
Loogootee Jr/Sr High School,278,,,,,,
Indpls. Lighthouse Charter School,277,,,,,,
Wood Memorial High,277,,,,,,
Kouts Middle/High School,275,,,,,,
Pioneer Jr-Sr High School,275,,,,,,
Wes-Del Middle/Senior High Sch,275,,,,,,
Clinton Central Junior-Senior HS,274,,,,,,
Marquette Catholic HS,273,,,,,,
Tindley Accelerated Sch,273,,,,,,
Tri Central Middle-High School,271,,,,,,
Edinburgh Community High Sch,269,,,,,,
Hauser Jr-Sr High School,268,,,,,,
Northeast Dubois High School,268,,,,,,
White River Valley Jr/Sr High Sch,268,,,,,,
21st Century Charter Sch of Gary,266,,,,,,
Southern Wells Jr-Sr High Sch,266,,,,,,
Springs Valley Comm High Sch,266,,,,,,
Washington Twp Middle/High School,266,,,,,,
North White Jr/Sr High School,265,,,,,,
Jac-Cen-Del Jr-Sr High School,263,,,,,,
S.B. Career Academy,263,,,,,,
Triton Jr-Sr High Sch,261,,,,,,
Indpls. Metropolitan High Sch,258,,,,,,
West Washington Jr-Sr HS,257,,,,,,
Providence Cristo Rey HS,255,,,,,,
Lanesville Jr-Sr HS,253,,,,,,
Indpls. Lutheran High School,251,,,,,,
Clay City Jr-Sr High School,249,,,,,,
Culver Community High Sch,249,,,,,,
Anderson Preparatory Academy,247,,,,,,
North Vermillion High School,245,,,,,,
Morgan Township Middle/High School,244,,,,,,
Christian Academy of Indiana,241,,,,,,
F.W. Blackhawk Christian Jr-Sr HS,241,,,,,,
Shakamak Jr-Sr High Sch,240,,,,,,
Cowan High School,238,,,,,,
Tri-County Middle-Senior High,234,,,,,,
Rising Sun High School,233,,,,,,
Christel House Academy,232,,,,,,
Borden High School,230,,,,,,
Bloomfield Jr-Sr High School,228,,,,,,
Caston Jr-Sr High Sch,228,,,,,,
Southwestern (Shelby) High School,227,,,,,,
Orleans Jr-Sr High Sch,226,,,,,,
New Washington Middle/High School,225,,,,,,
Rockville Jr-Sr High School,224,,,,,,
Attica High School,223,,,,,,
South Newton Senior High Sch,220,,,,,,
South Central (Elizabeth) Jr & Sr HS,212,,,,,,
Oldenburg Academy,210,,,,,,
Barr Reeve Jr-Sr High School,203,,,,,,
Faith Christian School,203,,,,,,
